query_id,market_id,problem_id,intent,query,seed_status
en-us-003-e,en-us,pd-003,experience,losing friends as an adult,unvalidated
en-us-003-x,en-us,pd-003,explanation,why is it hard to make friends as an adult,unvalidated
en-us-003-s,en-us,pd-003,solution,how to make friends as an adult,unvalidated
en-us-004-e,en-us,pd-004,experience,no motivation to do anything,unvalidated
en-us-004-x,en-us,pd-004,explanation,why can't I start tasks even when they matter,unvalidated
en-us-004-s,en-us,pd-004,solution,how to get motivated to do things,unvalidated
en-us-005-e,en-us,pd-005,experience,can't stop checking my phone,unvalidated
en-us-005-x,en-us,pd-005,explanation,why can't I stop scrolling,unvalidated
en-us-005-s,en-us,pd-005,solution,how to stop scrolling so much,unvalidated
en-us-006-e,en-us,pd-006,experience,social media makes me feel bad about myself,unvalidated
en-us-006-x,en-us,pd-006,explanation,why do I compare myself to everyone online,unvalidated
en-us-006-s,en-us,pd-006,solution,how to stop comparing myself to others,unvalidated
en-us-007-e,en-us,pd-007,experience,falling in love with an AI,unvalidated
en-us-007-x,en-us,pd-007,explanation,why do I feel attached to an AI chatbot,unvalidated
en-us-007-s,en-us,pd-007,solution,how to stop being attached to an AI,unvalidated
en-us-008-e,en-us,pd-008,experience,celebrity relationship news hurts,unvalidated
en-us-008-x,en-us,pd-008,explanation,why do I feel jealous when my favorite celebrity dates,unvalidated
en-us-008-s,en-us,pd-008,solution,how to get over a celebrity crush,unvalidated
en-us-009-e,en-us,pd-009,experience,feeling emotionally numb,unvalidated
en-us-009-x,en-us,pd-009,explanation,why don't I feel anything anymore,unvalidated
en-us-009-s,en-us,pd-009,solution,how to feel emotions again,unvalidated
en-us-010-e,en-us,pd-010,experience,I don't know who I am anymore,unvalidated
en-us-010-x,en-us,pd-010,explanation,why do I feel like I have no identity,unvalidated
en-us-010-s,en-us,pd-010,solution,how to figure out who I am,unvalidated
es-es-001-e,es-es,pd-001,experience,me siento solo aunque esté con gente,unvalidated
es-es-001-x,es-es,pd-001,explanation,por qué me siento solo si tengo amigos,unvalidated
es-es-001-s,es-es,pd-001,solution,cómo dejar de sentirme solo,unvalidated
es-es-002-e,es-es,pd-002,experience,estar con gente me agota,unvalidated
es-es-002-x,es-es,pd-002,explanation,por qué me cansa tanto socializar,unvalidated
es-es-002-s,es-es,pd-002,solution,cómo evitar el agotamiento social,unvalidated
es-es-003-e,es-es,pd-003,experience,he perdido amigos al hacerme adulto,unvalidated
es-es-003-x,es-es,pd-003,explanation,por qué cuesta hacer amigos de adulto,unvalidated
es-es-003-s,es-es,pd-003,solution,cómo hacer amigos de adulto,unvalidated
es-es-004-e,es-es,pd-004,experience,no tengo ganas de hacer nada,unvalidated
es-es-004-x,es-es,pd-004,explanation,por qué no puedo empezar las cosas,unvalidated
es-es-004-s,es-es,pd-004,solution,cómo recuperar la motivación,unvalidated
es-es-005-e,es-es,pd-005,experience,no puedo dejar de mirar el móvil,unvalidated
es-es-005-x,es-es,pd-005,explanation,por qué no puedo dejar de hacer scroll,unvalidated
es-es-005-s,es-es,pd-005,solution,cómo usar menos el móvil,unvalidated
es-es-006-e,es-es,pd-006,experience,las redes sociales me hacen sentir inferior,unvalidated
es-es-006-x,es-es,pd-006,explanation,por qué me comparo tanto con los demás,unvalidated
es-es-006-s,es-es,pd-006,solution,cómo dejar de compararme con los demás,unvalidated
es-es-007-e,es-es,pd-007,experience,enamorarse de una inteligencia artificial,unvalidated
es-es-007-x,es-es,pd-007,explanation,por qué siento apego por un chatbot,unvalidated
es-es-007-s,es-es,pd-007,solution,cómo dejar de depender emocionalmente de una IA,unvalidated
es-es-008-e,es-es,pd-008,experience,me afecta que mi famoso favorito tenga pareja,unvalidated
es-es-008-x,es-es,pd-008,explanation,por qué siento celos de la pareja de un famoso,unvalidated
es-es-008-s,es-es,pd-008,solution,cómo superar la obsesión por un famoso,unvalidated
es-es-009-e,es-es,pd-009,experience,no siento nada emocionalmente,unvalidated
es-es-009-x,es-es,pd-009,explanation,por qué no siento emociones,unvalidated
es-es-009-s,es-es,pd-009,solution,cómo volver a sentir emociones,unvalidated
es-es-010-e,es-es,pd-010,experience,no sé quién soy,unvalidated
es-es-010-x,es-es,pd-010,explanation,por qué siento que no tengo identidad,unvalidated
es-es-010-s,es-es,pd-010,solution,cómo descubrir quién soy,unvalidated
es-mx-001-e,es-mx,pd-001,experience,me siento solo aunque esté con gente,unvalidated
es-mx-001-x,es-mx,pd-001,explanation,por qué me siento solo si tengo amigos,unvalidated
es-mx-001-s,es-mx,pd-001,solution,cómo dejar de sentirme solo,unvalidated
es-mx-002-e,es-mx,pd-002,experience,convivir con gente me agota,unvalidated
es-mx-002-x,es-mx,pd-002,explanation,por qué me cansa tanto socializar,unvalidated
es-mx-002-s,es-mx,pd-002,solution,cómo dejar de sentirme agotado después de socializar,unvalidated
es-mx-003-e,es-mx,pd-003,experience,he perdido amigos de adulto,unvalidated
es-mx-003-x,es-mx,pd-003,explanation,por qué es difícil hacer amigos de adulto,unvalidated
es-mx-003-s,es-mx,pd-003,solution,cómo hacer amigos de adulto,unvalidated
es-mx-004-e,es-mx,pd-004,experience,no tengo ganas de hacer nada,unvalidated
es-mx-004-x,es-mx,pd-004,explanation,por qué no puedo empezar mis pendientes,unvalidated
es-mx-004-s,es-mx,pd-004,solution,cómo volver a tener motivación,unvalidated
es-mx-005-e,es-mx,pd-005,experience,no puedo dejar de revisar el celular,unvalidated
es-mx-005-x,es-mx,pd-005,explanation,por qué no puedo dejar de hacer scroll,unvalidated
es-mx-005-s,es-mx,pd-005,solution,cómo usar menos el celular,unvalidated
es-mx-006-e,es-mx,pd-006,experience,las redes sociales me hacen sentir menos,unvalidated
es-mx-006-x,es-mx,pd-006,explanation,por qué me comparo tanto con otras personas,unvalidated
es-mx-006-s,es-mx,pd-006,solution,cómo dejar de compararme con los demás,unvalidated
es-mx-007-e,es-mx,pd-007,experience,enamorarse de una inteligencia artificial,unvalidated
es-mx-007-x,es-mx,pd-007,explanation,por qué siento apego por un chatbot de IA,unvalidated
es-mx-007-s,es-mx,pd-007,solution,cómo dejar de depender emocionalmente de una IA,unvalidated
es-mx-008-e,es-mx,pd-008,experience,me afecta que mi artista favorito tenga pareja,unvalidated
es-mx-008-x,es-mx,pd-008,explanation,por qué siento celos de la pareja de un famoso,unvalidated
es-mx-008-s,es-mx,pd-008,solution,cómo superar la obsesión por un famoso,unvalidated
es-mx-009-e,es-mx,pd-009,experience,me siento emocionalmente vacío,unvalidated
es-mx-009-x,es-mx,pd-009,explanation,por qué siento que no tengo emociones,unvalidated
es-mx-009-s,es-mx,pd-009,solution,cómo volver a conectar con mis emociones,unvalidated
es-mx-010-e,es-mx,pd-010,experience,no sé quién soy,unvalidated
es-mx-010-x,es-mx,pd-010,explanation,por qué siento que no tengo identidad,unvalidated
es-mx-010-s,es-mx,pd-010,solution,cómo descubrir quién soy,unvalidated
